电影名称			评分			评分人数
血钻			8.6			176156
勇闯夺命岛			8.6			171530
聚焦			8.8			160764
2001太空漫游			8.7			132685
变脸			8.4			257382
发条橙			8.5			223705
秒速5厘米			8.3			381602
黄金三镖客			9.1			65847
黑鹰坠落			8.6			154270
卡萨布兰卡			8.6			150721
非常嫌疑犯			8.6			150301
国王的演讲			8.3			411016
我爱你			9.0			77045
千钧一发			8.7			118083
美国丽人			8.5			223934
遗愿清单			8.5			170500
碧海蓝天			8.7			119240
功夫			8.3			397887
疯狂的麦克斯4：狂暴之路			8.6			265215
荒岛余生			8.5			170828
英国病人			8.5			202554
荒野生存			8.6			153528
海盗电台			8.6			187931
枪火			8.7			124146
驴得水			8.3			451154
